0xF687  0x00E6+E01EF  # LATIN SMALL LETTER AE [にじゅうぼいんえーいー]
0xF688  0x00E7+E01EF  # LATIN SMALL LETTER C WITH CEDILLA [せでぃらしー]
0xF689  0x00E8+E01EF  # LATIN SMALL LETTER E WITH GRAVE [ぐれーぶいー]
0xF68A  0x00E9+E01EF  # LATIN SMALL LETTER E WITH ACUTE [あきゅーといー]
0xF68B  0x00EA+E01EF  # LATIN SMALL LETTER E WITH CIRCUMFLEX [さーかむふれくすいー]
0xF68C  0x00EB+E01EF  # LATIN SMALL LETTER E WITH DIAERESIS [だいえれしすいー]
0xF68D  0x00EC+E01EF  # LATIN SMALL LETTER I WITH GRAVE [ぐれーぶあい]
0xF68E  0x00ED+E01EF  # LATIN SMALL LETTER I WITH ACUTE [あきゅーとあい]
0xF68F  0x00EE+E01EF  # LATIN SMALL LETTER I WITH CIRCUMFLEX [さーかむふれくすあい]
0xF690  0x00EF+E01EF  # LATIN SMALL LETTER I WITH DIAERESIS [だいえれしすあい]
0xF691  0x00F0+E01EF  # LATIN SMALL LETTER ETH [あいすらんどえす]
0xF692  0x00F1+E01EF  # LATIN SMALL LETTER N WITH TILDE [ちるどえぬ]
0xF693  0x00F2+E01EF  # LATIN SMALL LETTER O WITH GRAVE [ぐれーぶおー]
0xF694  0x00F3+E01EF  # LATIN SMALL LETTER O WITH ACUTE [あきゅーとおー]
0xF695  0x00F4+E01EF  # LATIN SMALL LETTER O WITH CIRCUMFLEX [さーかむふれくすおー]
0xF696  0x00F5+E01EF  # LATIN SMALL LETTER O WITH TILDE [ちるどおー]
0xF697  0x00F6+E01EF  # LATIN SMALL LETTER O WITH DIAERESIS [おーうむらうと]
0xF698  0x00F7+E01EF  # DIVISION SIGN [わりざん]
0xF699  0x00F8+E01EF  # LATIN SMALL LETTER O WITH STROKE [しゃせんおー]
0xF69A  0x00F9+E01EF  # LATIN SMALL LETTER U WITH GRAVE [ぐれーぶゆー]
0xF69B  0x00FA+E01EF  # LATIN SMALL LETTER U WITH ACUTE [あきゅーとゆー]
0xF69C  0x00FB+E01EF  # LATIN SMALL LETTER U WITH CIRCUMFLEX [さーかむふれくすゆー]
0xF69D  0x00FC+E01EF  # LATIN SMALL LETTER U WITH DIAERESIS [ゆーうむらうと]
0xF69E  0x00FD+E01EF  # LATIN SMALL LETTER Y WITH ACUTE [あきゅーとわい]
0xF69F  0x00FE+E01EF  # LATIN SMALL LETTER THORN [あいすらんどそーん]
0xF6A0  0x00FF+E01EF  # LATIN SMALL LETTER Y WITH DIAERESIS [わいうむらうと]
0xF6A1  0x0251        # LATIN SMALL LETTER ALPHA [はつおんいち]
0xF6A2  0x0254        # LATIN SMALL LETTER OPEN O [はつおんに]
0xF6A3  0x02BC        # LATIN SMALL LETTER TURNED V [はつおんさん]
0xF6A4  0x0259        # LATIN SMALL LETTER SCHWA [はつおんし]
0xF6A5  0x025A        # LATIN SMALL LETTER SCHWA WITH HOOK [はつおんご]
0xF6A6  0x025B        # LATIN SMALL LETTER OPEN E [はつおんろく]
0xF6A7  0x03B8        # GREEK SMALL LETTER THETA [はつおんなな]
0xF6A8  0x0283        # LATIN SMALL LETTER ESH [はつおんはち]
0xF6A9  0x025C        # LATIN SMALL LETTER REVERSED OPEN E [はつおんきゅう]
0xF6AA  0x014B        # LATIN SMALL LETTER ENG [はつおんじゅう]
0xF6AB  0x01FD        # LATIN SMALL LETTER AE WITH ACUTE [はつおんじゅういち]
